chromosome	family	start	end	size	genes
1	17	216212	243440	2	Os01g0104200,Os01g0104500
1	268	322591	328450	2	Os01g0106300,Os01g0106400
1	2874	455707	481099	2	Os01g0108400,Os01g0108600
1	1148	513890	527980	2	Os01g0109700,Os01g0109750
1	18	689788	714232	2	Os01g0112800,Os01g0113150
1	1	720673	795413	14	Os01g0113200,Os01g0113300,Os01g0113350,Os01g0113400,Os01g0113500,Os01g0113650,Os01g0113700,Os01g0113800,Os01g0113900,Os01g0114100,Os01g0114400,Os01g0114600,Os01g0114700,Os01g0114900
1	1	839809	1000997	22	Os01g0115500,Os01g0115566,Os01g0115600,Os01g0115700,Os01g0115750,Os01g0115800,Os01g0115900,Os01g0116000,Os01g0116200,Os01g0116300,Os01g0116400,Os01g0116900,Os01g0116800,Os01g0117000,Os01g0117100,Os01g0117200,Os01g0117266,Os01g0117300,Os01g0117400,Os01g0117500,Os01g0117600,Os01g0117700
1	656	911978	923591	2	Os01g0116250,Os01g0116650
1	656	935618	960545	2	Os01g0116901,Os01g0117025
1	656	984536	997150	2	Os01g0117450,Os01g0117650
1	105	1057177	1092825	5	Os01g0118400,Os01g0118600,Os01g0118700,Os01g0119000,Os01g0119100
1	1992	1217319	1223887	2	Os01g0121500,Os01g0121600
1	148	1238623	1337407	8	Os01g0121900,Os01g0121950,Os01g0122000,Os01g0122200,Os01g0122701,Os01g0123500,Os01g0123700,Os01g0123800
1	486	1338241	1366432	7	Os01g0123900,Os01g0124000,Os01g0124100,Os01g0124200,Os01g0124401,Os01g0124600,Os01g0124650
1	148	1369191	1396825	3	Os01g0124900,Os01g0125000,Os01g0125500
1	922	1433996	1500606	5	Os01g0126100,Os01g0126200,Os01g0126900,Os01g0127000,Os01g0127200
1	1474	1562618	1569467	2	Os01g0128100,Os01g0128200
1	2890	1757812	1761065	2	Os01g0131900,Os01g0132000
1	164	1857083	1866109	2	Os01g0133600,Os01g0133700
1	2896	1857805	1866126	2	Os01g0133650,Os01g0133799
1	271	1906717	1915094	2	Os01g0134800,Os01g0134900
1	90	1934117	1952681	5	Os01g0135800,Os01g0135900,Os01g0136000,Os01g0136100,Os01g0136200
1	2005	1961587	1963627	2	Os01g0136450,Os01g0136500
1	1	1977423	1996857	4	Os01g0136800,Os01g0136900,Os01g0137400,Os01g0137250
1	1	2014791	2038198	2	Os01g0137500,Os01g0137950
1	1	2048745	2057636	2	Os01g0138300,Os01g0138400
1	60	2154326	2203787	2	Os01g0140700,Os01g0141000
1	35	2215662	2229526	2	Os01g0141100,Os01g0141300
1	932	2357871	2376761	3	Os01g0143300,Os01g0143700,Os01g0143800
1	1488	2414271	2501248	4	Os01g0144800,Os01g0145000,Os01g0145200,Os01g0146200
1	2905	2453742	2491357	2	Os01g0145600,Os01g0146101
1	425	2570072	2583575	2	Os01g0147400,Os01g0147700
1	428	2641000	2655523	2	Os01g0148500,Os01g0148700
1	70	2669251	2686364	2	Os01g0149350,Os01g0149500
1	667	2718042	2761554	5	Os01g0150200,Os01g0150400,Os01g0150500,Os01g0150800,Os01g0150900
1	2016	2776973	2790377	2	Os01g0151400,Os01g0151500
1	2019	2815148	2818897	2	Os01g0152100,Os01g0152200
1	2	2830325	2843512	3	Os01g0152600,Os01g0152687,Os01g0152800
1	273	2837892	2845212	2	Os01g0152700,Os01g0152900
1	250	2885392	2888434	2	Os01g0153500,Os01g0153600
1	1173	2885449	2888430	2	Os01g0153550,Os01g0153625
1	250	2899057	2932886	7	Os01g0153900,Os01g0153950,Os01g0154100,Os01g0154200,Os01g0154300,Os01g0154500,Os01g0154600
1	1	2962422	2986094	2	Os01g0155200,Os01g0155500
1	1498	3031479	3038708	3	Os01g0157200,Os01g0157400,Os01g0157600
